Datetime,SMA,SMA_diff,Maneuver
2018-01-01 12:37:36.596064,6864.68966409483,-0.0017989108600886,0
2018-01-01 20:31:55.898112,6864.68858474888,-0.0010793459496198,0
2018-01-02 05:42:49.014720,6864.68492696854,-0.0036577803402906,0
2018-01-02 12:13:01.263360,6864.68285822608,-0.0020687424603238,0
2018-01-02 21:38:45.514752,6864.68126919307,-0.0015890330096226,0
2018-01-03 05:20:51.018144,6864.67842092867,-0.0028482644001996,0
2018-01-03 13:20:01.716288,6864.67590246575,-0.0025184629193972,0
2018-01-03 21:10:25.002048,6864.67398363842,-0.0019188273299732,0
2018-01-04 04:56:39.177600,6864.67026591428,-0.0037177241401877,0
2018-01-04 12:56:40.436160,6864.66798731165,-0.0022786026302128,0
2018-01-04 20:53:42.523584,6864.66651821358,-0.0014690980697196,0
2018-01-05 04:32:31.251840,6864.6637898907,-0.0027283228801024,0
2018-01-05 12:36:09.598176,6864.66163121956,-0.0021586711400232,0
2018-01-05 20:30:33.982272,6864.66073177376,-0.0008994458003144,0
2018-01-06 05:40:04.579968,6864.65812338259,-0.0026083911698151,0
2018-01-06 12:25:38.000352,6864.65647440094,-0.0016489816498506,0
2018-01-06 21:36:58.337280,6864.65572486416,-0.0007495367799492,0
2018-01-07 05:19:10.643808,6864.65422579121,-0.001499072950537,0
2018-01-07 13:18:24.823872,6864.65248686761,-0.0017389235999871,0
2018-01-07 21:08:42.376992,6864.65185725761,-0.0006296100000326,0
2018-01-08 04:55:00.108768,6864.64987848427,-0.0019787733399425,0
2018-01-08 12:50:05.271072,6864.64813956343,-0.0017389208396707,0
2018-01-08 20:52:05.453184,6864.64750995443,-0.000629609000498,0
2018-01-09 04:30:52.322112,6864.64508146392,-0.0024284905093736,0
2018-01-09 12:25:50.296800,6864.64337252744,-0.0017089364800995,0
2018-01-09 20:28:37.763040,6864.64256303158,-0.0008094958602669,0
2018-01-10 05:38:20.225184,6864.63821574311,-0.004347288469944,0
2018-01-10 12:02:02.905728,6864.63632692337,-0.0018888197400883,0
2018-01-10 21:35:20.584320,6864.63479787977,-0.0015290435994756,0
2018-01-11 05:17:28.577760,6864.63200962598,-0.0027882537906407,0
2018-01-11 13:15:36.999648,6864.63000088576,-0.0020087402199351,0
2018-01-11 16:28:03.759168,6864.62892156326,-0.0010793225001179,0
2018-01-11 21:06:57.347424,6864.62838190217,-0.0005396610895331,0
2018-01-12 04:53:19.902912,6864.62472420203,-0.0036577001401383,0
2018-01-12 12:53:16.965888,6864.62220578837,-0.0025184136602547,0
2018-01-12 20:43:34.937184,6864.62070673371,-0.0014990546596891,0
2018-01-13 04:29:09.562272,6864.61785853212,-0.002848201589586,0
2018-01-13 12:29:12.757920,6864.61605966948,-0.0017988626404985,0
2018-01-13 21:54:47.253024,6864.61525018168,-0.0008094878003248,0
2018-01-14 05:36:26.960832,6864.61255189073,-0.0026982909494108,0
2018-01-14 12:08:04.966656,6864.61063310767,-0.0019187830603186,0
2018-01-14 21:34:36.603264,6864.60949383086,-0.0011392768101359,0
2018-01-15 05:15:54.684288,6864.60658567904,-0.0029081518196107,0
2018-01-15 13:15:05.974272,6864.60424716744,-0.0023385116001009,0
2018-01-15 21:06:49.756320,6864.60286804615,-0.0013791212895739,0
2018-01-16 04:51:35.157600,6864.59951018851,-0.003357857640367,0
2018-01-16 12:51:43.445664,6864.5973515679,-0.0021586206103165,0
2018-01-16 20:48:45.261792,6864.59585252682,-0.0014990410800237,0
2018-01-17 04:27:27.733824,6864.59240473543,-0.0034477913895898,0
2018-01-17 12:31:30.853632,6864.59009621666,-0.0023085187704054,0
2018-01-17 20:25:18.876288,6864.58880704468,-0.0012891719798062,0
2018-01-18 05:34:29.862912,6864.58463972546,-0.0041673192199596,0
2018-01-18 08:41:10.485888,6864.58365036283,-0.0009893626302073,0
2018-01-18 12:06:22.359744,6864.58248111655,-0.0011692462794599,0
2018-01-18 18:16:43.248288,6864.58113198684,-0.0013491297104337,0
2018-01-19 02:07:16.640256,6864.57939310953,-0.0017388773094353,0
2018-01-19 05:14:01.381920,6864.57873353566,-0.0006595738705073,0
2018-01-19 13:13:24.866400,6864.57666487321,-0.0020686624502559,0
2018-01-19 21:05:21.222240,6864.57591535821,-0.0007495149993701,0
2018-01-20 04:49:49.765152,6864.57333702818,-0.0025783300307011,0
2018-01-20 12:52:30.133632,6864.57168809745,-0.0016489307299707,0
2018-01-20 20:47:02.925312,6864.57075870057,-0.0009293968796555,0
2018-01-21 04:25:40.839744,6864.56785058977,-0.0029081107995807,0
2018-01-21 12:25:49.112256,6864.56602177941,-0.0018288103601662,0
2018-01-21 21:51:42.896160,6864.56485254063,-0.0011692387797666,0
2018-01-22 05:32:54.335616,6864.56164463168,-0.0032079089505714,0
2018-01-22 12:04:38.976096,6864.55906631505,-0.0025783166302062,0
2018-01-22 21:21:41.216832,6864.55690772624,-0.0021585888098343,0
2018-01-23 05:12:14.003136,6864.55316018026,-0.0037475459794222,0
2018-01-23 13:10:20.233056,6864.55046195032,-0.0026982299405062,0
2018-01-23 20:57:59.414976,6864.54806352594,-0.0023984243798622,0
2018-01-24 04:48:02.883168,6864.54377634757,-0.0042871783698501,0
2018-01-24 12:50:38.273280,6864.5411680675,-0.0026082800704898,0
2018-01-24 20:45:18.476352,6864.53918937392,-0.0019786935799857,0
2018-01-25 05:53:06.518112,6864.53544185213,-0.0037475217895917,0
2018-01-25 12:24:02.148192,6864.53364304348,-0.0017988086501645,0
2018-01-25 21:49:39.345024,6864.53259373898,-0.0010493045001567,0
