Datetime,SMA,SMA_diff
2018-01-01 12:37:36.596064,6864.68966409483,-0.0017989108600886539
2018-01-01 20:31:55.898112,6864.68858474888,-0.001079345949619892
2018-01-02 05:42:49.014720,6864.68492696854,-0.0036577803402906284
2018-01-02 12:13:01.263360,6864.68285822608,-0.002068742460323847
2018-01-02 21:38:45.514752,6864.68126919307,-0.0015890330096226535
2018-01-03 05:20:51.018144,6864.67842092867,-0.002848264400199696
2018-01-03 13:20:01.716288,6864.67590246575,-0.0025184629193972796
2018-01-03 21:10:25.002048,6864.67398363842,-0.0019188273299732828
2018-01-04 04:56:39.177600,6864.67026591428,-0.0037177241401877836
2018-01-04 12:56:40.436160,6864.66798731165,-0.002278602630212845
2018-01-04 20:53:42.523584,6864.66651821358,-0.001469098069719621
2018-01-05 04:32:31.251840,6864.6637898907,-0.002728322880102496
2018-01-05 12:36:09.598176,6864.66163121956,-0.002158671140023216
2018-01-05 20:30:33.982272,6864.66073177376,-0.0008994458003144246
2018-01-06 05:40:04.579968,6864.65812338259,-0.0026083911698151496
2018-01-06 12:25:38.000352,6864.65647440094,-0.0016489816498506116
2018-01-06 21:36:58.337280,6864.65572486416,-0.0007495367799492669
2018-01-07 05:19:10.643808,6864.65422579121,-0.0014990729505370837
2018-01-07 13:18:24.823872,6864.65248686761,-0.0017389235999871744
2018-01-07 21:08:42.376992,6864.65185725761,-0.0006296100000326987
2018-01-08 04:55:00.108768,6864.64987848427,-0.0019787733399425633
2018-01-08 12:50:05.271072,6864.64813956343,-0.0017389208396707545
2018-01-08 20:52:05.453184,6864.64750995443,-0.0006296090004980215
2018-01-09 04:30:52.322112,6864.64508146392,-0.0024284905093736597
2018-01-09 12:25:50.296800,6864.64337252744,-0.00170893648009951
2018-01-09 20:28:37.763040,6864.64256303158,-0.0008094958602669067
2018-01-10 05:38:20.225184,6864.63821574311,-0.004347288469944033
2018-01-10 12:02:02.905728,6864.63632692337,-0.0018888197400883655
2018-01-10 21:35:20.584320,6864.63479787977,-0.001529043599475699
2018-01-11 05:17:28.577760,6864.63200962598,-0.002788253790640738
2018-01-11 13:15:36.999648,6864.63000088576,-0.0020087402199351345
2018-01-11 16:28:03.759168,6864.62892156326,-0.0010793225001179962
2018-01-11 21:06:57.347424,6864.62838190217,-0.0005396610895331833
2018-01-12 04:53:19.902912,6864.62472420203,-0.0036577001401383313
2018-01-12 12:53:16.965888,6864.62220578837,-0.002518413660254737
2018-01-12 20:43:34.937184,6864.62070673371,-0.0014990546596891363
2018-01-13 04:29:09.562272,6864.61785853212,-0.002848201589586097
2018-01-13 12:29:12.757920,6864.61605966948,-0.0017988626404985553
2018-01-13 21:54:47.253024,6864.61525018168,-0.0008094878003248596
2018-01-14 05:36:26.960832,6864.61255189073,-0.0026982909494108753
2018-01-14 12:08:04.966656,6864.61063310767,-0.001918783060318674
2018-01-14 21:34:36.603264,6864.60949383086,-0.0011392768101359252
2018-01-15 05:15:54.684288,6864.60658567904,-0.0029081518196107936
2018-01-15 13:15:05.974272,6864.60424716744,-0.002338511600100901
2018-01-15 21:06:49.756320,6864.60286804615,-0.001379121289573959
2018-01-16 04:51:35.157600,6864.59951018851,-0.0033578576403670013
2018-01-16 12:51:43.445664,6864.5973515679,-0.002158620610316575
2018-01-16 20:48:45.261792,6864.59585252682,-0.0014990410800237441
2018-01-17 04:27:27.733824,6864.59240473543,-0.0034477913895898382
2018-01-17 12:31:30.853632,6864.59009621666,-0.002308518770405499
2018-01-17 20:25:18.876288,6864.58880704468,-0.0012891719798062695
2018-01-18 05:34:29.862912,6864.58463972546,-0.004167319219959609
2018-01-18 08:41:10.485888,6864.58365036283,-0.0009893626302073244
2018-01-18 12:06:22.359744,6864.58248111655,-0.0011692462794599123
2018-01-18 18:16:43.248288,6864.58113198684,-0.0013491297104337718
2018-01-19 02:07:16.640256,6864.57939310953,-0.0017388773094353382
2018-01-19 05:14:01.381920,6864.57873353566,-0.0006595738705073018
2018-01-19 13:13:24.866400,6864.57666487321,-0.0020686624502559425
2018-01-19 21:05:21.222240,6864.57591535821,-0.0007495149993701489
2018-01-20 04:49:49.765152,6864.57333702818,-0.0025783300307011814
2018-01-20 12:52:30.133632,6864.57168809745,-0.0016489307299707434
2018-01-20 20:47:02.925312,6864.57075870057,-0.0009293968796555419
2018-01-21 04:25:40.839744,6864.56785058977,-0.0029081107995807542
2018-01-21 12:25:49.112256,6864.56602177941,-0.0018288103601662442
2018-01-21 21:51:42.896160,6864.56485254063,-0.0011692387797666015
2018-01-22 05:32:54.335616,6864.56164463168,-0.0032079089505714364
2018-01-22 12:04:38.976096,6864.55906631505,-0.0025783166302062455
2018-01-22 21:21:41.216832,6864.55690772624,-0.0021585888098343275
2018-01-23 05:12:14.003136,6864.55316018026,-0.0037475459794222843
2018-01-23 13:10:20.233056,6864.55046195032,-0.0026982299405062804
2018-01-23 20:57:59.414976,6864.54806352594,-0.002398424379862263
2018-01-24 04:48:02.883168,6864.54377634757,-0.004287178369850153
2018-01-24 12:50:38.273280,6864.5411680675,-0.0026082800704898546
2018-01-24 20:45:18.476352,6864.53918937392,-0.001978693579985702
2018-01-25 05:53:06.518112,6864.53544185213,-0.0037475217895917012
2018-01-25 12:24:02.148192,6864.53364304348,-0.001798808650164574
2018-01-25 21:49:39.345024,6864.53259373898,-0.0010493045001567225
2018-01-26 05:32:05.252640,6864.53013537001,-0.002458368970110314
2018-01-26 12:02:52.539072,6864.52815668439,-0.001978685620088072
2018-01-26 21:29:58.937856,6864.52635788052,-0.0017988038698604214
